word,bonares_voc,lemma
fertilization,fertilization,fertilization
balanced fertilization,fertilization,balanced fertilization
broadcast fertilization,fertilization,broadcast fertilization
foliar fertilization,fertilization,foliar fertilization
in vitro fertilization,fertilization,in vitro fertilization
no fertilizer,no fertilizer,no fertilizer
ammonia fertilizer,ammonia fertilizer,ammonia fertilizer
ammonium nitrate fertilizer,ammonium nitrate fertilizer,ammonium nitrate fertilizer
urea fertilizer,urea fertilizer,urea fertilizer
calcium ammonium nitrate fertilizer,calcium ammonium nitrate fertilizer,calcium ammonium nitrate fertilizer
superphosphate fertilizer,superphosphate fertilizer,superphosphate fertilizer
phosphogypsum fertilizer,phosphogypsum fertilizer,phosphogypsum fertilizer
triple superphosphate fertilizer,triple superphosphate fertilizer,triple superphosphate fertilizer
double superphosphate fertilizer,double superphosphate fertilizer,double superphosphate fertilizer
hyperphosphate fertilizer,hyperphosphate fertilizer,hyperphosphate fertilizer
potassium chloride fertilizer,potassium chloride fertilizer,potassium chloride fertilizer
potassium sulfate fertilizer,potassium sulfate fertilizer,potassium sulfate fertilizer
magnesia-kainit fertilizer,magnesia-kainit fertilizer,magnesia - kainit fertilizer
npk fertilizer,npk fertilizer,npk fertilizer
NPK fertilizers,npk fertilizer,NPK fertilizer
monoammonium phosphate fertilizer,monoammonium phosphate fertilizer,monoammonium phosphate fertilizer
diammonium phosphate fertilizer,diammonium phosphate fertilizer,diammonium phosphate fertilizer
amendment,amendment,amendment
liming materials,amendment,liming material
calcitic lime (amendment),amendment,calcitic lime ( amendment )
dolomitic lime (amendment),amendment,dolomitic lime ( amendment )
inorganic amendments,amendment,inorganic amendment
lime (amendment),amendment,lime ( amendment )
organic amendments,amendment,organic amendment
soil amendments,amendment,soil amendment
no amendment,no amendment,no amendment
no inorganic amendment,no inorganic amendment,no inorganic amendment
biochar,biochar,biochar
no organic amendment,no organic amendment,no organic amendment
cattle manure (amendment),cattle manure (amendment),cattle manure ( amendment )
composted wheat residues (amendment),composted wheat residues (amendment),composted wheat residue ( amendment )
solid waste compost (amendment),solid waste compost (amendment),solid waste compost ( amendment )
brassica residues,brassica residues,brassica residue
wheat residues,wheat residues,wheat residue
mulching,mulching,mulch
mulches,mulching,mulch
stubble mulching,mulching,stubble mulching
no mulch,no mulch,no mulch
bark mulch,bark mulch,bark mulch
bark mulches,bark mulch,bark mulch
straw mulch,straw mulch,straw mulch
straw mulches,straw mulch,straw mulch
plastic mulch,plastic mulch,plastic mulch
plastic mulches,plastic mulch,plastic mulch
tillage,tillage,tillage
conservation tillage,tillage,conservation tillage
conventional tillage,tillage,conventional tillage
deep tillage,tillage,deep tillage
minimum tillage,tillage,minimum tillage
stubble tillage,tillage,stubble tillage
zero tillage,tillage,zero tillage
primary tillage,tillage,primary tillage
ridge tillage,tillage,ridge tillage
ripping (tillage),tillage,rip ( tillage )
secondary tillage,tillage,secondary tillage
strip tillage,tillage,strip tillage
surface cultivation,tillage,surface cultivation
ploughing depth,tillage,plough depth
tillage equipment,tillage,tillage equipment
tillage erosion,tillage,tillage erosion
puddling,tillage,puddle
conventional tillage,conventional tillage,conventional tillage
zero tillage,zero tillage,zero tillage
minimum tillage,minimum tillage,minimum tillage
ridge tillage,ridge tillage,ridge tillage
chisel plowing,chisel plowing,chisel plow
disc plowing,disc plowing,disc plow
moldboard plowing,moldboard plowing,moldboard plow
disc harrowing,disc harrowing,disc harrow
shallow tillage,shallow tillage,shallow tillage
deep tillage,deep tillage,deep tillage
residues,residues,residue
residual effects,residues,residual effect
antibiotic residues,residues,antibiotic residue
crop residues,residues,crop residue
drug residues,residues,drug residue
logging wastes,residues,log waste
organic residues,residues,organic residue
pesticide residues,residues,pesticide residue
veterinary drug residues,residues,veterinary drug residue
wood residues,residues,wood residue
no residue removal,no residue removal,no residue removal
partial residue removal,partial residue removal,partial residue removal
full residue removal,full residue removal,full residue removal
no residue incorporation,no residue incorporation,no residue incorporation
on-site residue incorporation,on-site residue incorporation,on - site residue incorporation
off-site residue incorporation,off-site residue incorporation,off - site residue incorporation
irrigation,irrigation,irrigation
automatic irrigation,irrigation,automatic irrigation
basin irrigation,irrigation,basin irrigation
border irrigation,irrigation,border irrigation
capillary irrigation,irrigation,capillary irrigation
centre pivot irrigation,irrigation,centre pivot irrigation
continuous irrigation,irrigation,continuous irrigation
deficit irrigation,irrigation,deficit irrigation
demand irrigation,irrigation,demand irrigation
trickle irrigation,irrigation,trickle irrigation
emitters (irrigation),irrigation,emitter ( irrigation )
fertigation,irrigation,fertigation
flood irrigation,irrigation,flood irrigation
furrow irrigation,irrigation,furrow irrigation
surface irrigation,irrigation,surface irrigation
irrigation canals,irrigation,irrigation canal
irrigation systems,irrigation,irrigation system
irrigation equipment,irrigation,irrigation equipment
irrigation methods,irrigation,irrigation method
irrigation pipes,irrigation,irrigation pipe
irrigation rates,irrigation,irrigation rate
irrigation scheduling,irrigation,irrigation scheduling
irrigation schemes,irrigation,irrigation scheme
irrigation sources,irrigation,irrigation source
irrigation water,irrigation,irrigation water
localized irrigation,irrigation,localized irrigation
mist irrigation,irrigation,mist irrigation
overhead irrigation,irrigation,overhead irrigation
rotation irrigation,irrigation,rotation irrigation
runoff irrigation,irrigation,runoff irrigation
sprinkler irrigation,irrigation,sprinkler irrigation
subsurface irrigation,irrigation,subsurface irrigation
supplemental irrigation,irrigation,supplemental irrigation
wastewater irrigation,irrigation,wastewater irrigation
no irrigation,no irrigation,no irrigation
drip irrigation,drip irrigation,drip irrigation
trickle irrigation,drip irrigation,trickle irrigation
flood irrigation,flood irrigation,flood irrigation
center pivot irrigation ,center pivot irrigation ,center pivot irrigation
lateral move irrigation,lateral move irrigation,lateral move irrigation
