RefID,ReferenceTag,ReferenceYear,ReferenceName,DOI,ReferenceTitle,Comments,fname_x,fname_y,fname
137,alagna2016,2016,"Alagna, V., V. Bagarello, S. Di Prima, and M. Iovino. 2016. “Determining Hydraulic Properties of a Loam Soil by Alternative Infiltrometer Techniques: Hydraulic Properties of a Loam Soil by Infiltrometer Techniques.” Hydrological Processes 30 (2): 263–75. https://doi.org/10.1002/hyp.10607.",10.1002/hyp.10607,Determining hydraulic properties of a loam soil by alternative infiltrometer techniques,compare different fitting method,alagna2015,alagna2015,alagna2015
2,Alletto_2009_G,2009,"Alletto and Coquet 2009. Geoderma 152, 85-94",10.1016/j.geoderma.2009.05.023,Temporal and spatial variability of soil bulk density and near-saturated hydraulic conductivity under two contrasted tillage management systems,temporal variations of K in three soils of contrasting texture,alletto2009,alletto2009,alletto2009
3,Angulo-Jaramillo_1996_SSSoAJ,1996,"Angulo-Jaramillo etal 1996 Soil Sci Soc Am J., 60:710-715",10.2136/sssaj1996.03615995006000030004x,Measurement of Hydraulic Properties and Mobile Water Content of a Field Soil,unknown,angulo-jaramillo1996,angulo-jaramillo1996,angulo-jaramillo1996
4,Ankeny_1990_SSSoAJ,1990,"Ankeny et al 1990. Soil Sci. Soc. Am. J., 54, 837-840",10.2136/sssaj1990.03615995005400030037x,Characterization of Tillage and Traffic Effects on Unconfined Infiltration Measurements,effects of traffic and tillage. Striking increase of K under untrafficked & tilled,ankeny1990,ankeny1990,ankeny1990
5,Asada_2012_EJoSS,2012,Asada et al. 2012. European J. Soil Sci. 63:368-376,10.1111/j.1365-2389.2012.01437.x,Effect of long-term swine-manure application on soil hydraulic properties and heavy metal behaviour,effects of swine manure application,asada2012,asada2012,asada2012
7,Bagarello_2000_SSSoAJ,2000,Bagarello et al. 2000. Soil Sci Soc Am J. 64:1203-1210,10.2136/sssaj2000.6441203x,Factors Affecting Measurement of the Near-Saturated Soil Hydraulic Conductivity,hysteresis and contact material had little effect on estimated K,bagarello2000,bagarello2000,bagarello2000
8,Bagarello_2007_G,2007,Bagarello et al. 2007. Geoderma. 137:394-400,10.1016/j.geoderma.2006.08.031,Comparison of unconfined and confined unsaturated hydraulic conductivity,significant effects of hysteresis,bagarello2007,bagarello2007,bagarello2007
9,Bagarello_2010_G,2010,Bagarello V. et al. 2010. Geoderma 158:427-435,10.1016/j.geoderma.2010.06.018,Testing the concentric-disk tension infiltrometer for field measurement of soil hydraulic conductivity,unknown,bagarello2010,bagarello2010,bagarello2010
133,Bagarello2014,2014,"Bagarello, V., G. Baiamonte, M. Castellini, S. Di Prima, and M. Iovino. 2014. “A Comparison between the Single Ring Pressure Infiltrometer and Simplified Falling Head Techniques.” Hydrological Processes 28 (18): 4843–53. https://doi.org/10.1002/hyp.9980.",10.1002/hyp.9980,A comparison between the single ring pressure infiltrometer and simplified falling head techniques,different landuse and multipotential K,bagarello2013,bagarello2013,bagarello2013
39,Dorel_2000_SUaM,2000,"Dorel et al., 2000. Soil Use and Management, 16, 133-140",10.1111/j.1475-2743.2000.tb00188.x,Porosity and soil water properties of Caribbean volcanic ash soils,"volcanic ash soils under banana plantations, undisturbed and with frequent re-planting",dorel2006,dorel2006,dorel2006
40,Dunn_1991_SSSoAJ,1991,"Dunn and Phillips 1991. Soil Sci. Soc. Am. J., 55:817-823",10.2136/sssaj1991.03615995005500030031x,Macroporosity of a Well-Drained Soil under No-Till and Conventional Tillage,"NT had larger K than CT in one year, but smaller in another!",dunn1991,dunn1991,dunn1991
41,Etana_2013_G,2013,"Etana A. et al. 2013. Geoderma, 192:430-436",10.1016/j.geoderma.2012.08.015,Persistent subsoil compaction and its effects on preferential flow patterns in a loamy till soil,long-term compaction effects: reduced K very near saturation,etana2013,etana2013,etana2013
43,Everts_1992_ToASAE,1992,Everts and Kanwar 1992. Trans. ASAE 36:423-428,10.13031/2013.28354,Interpreting Tension-infiltrometer Data for Quantifying Soil Macropores: Some Practical Considerations,unknown,10.13031@2013.28354,10.13031@2013.28354,10.13031@2013.28354
166,Fasinmirin2018,2018,"Fasinmirin, Johnson Toyin, Idowu Ezekiel Olorunfemi, and Fasilat Olakuleyin. 2018. “Strength and Hydraulics Characteristics Variations within a Tropical Alfisol in Southwestern Nigeria under Different Land Use Management.” Soil and Tillage Research 182 (October): 45–56. https://doi.org/10.1016/j.still.2018.04.017.",10.1016/j.still.2018.04.017,Strength and hydraulics characteristics variations within a tropical Alfisol in Southwestern Nigeria under different land use management,,fasinmirin2018,fasinmirin2018,fasinmirin2018
44,Foley_2006_AJoSR,2006,Foley et al. 2006. Aust. J. Soil Res. 2006:701-710,10.1071/sr05195,Improved measurement of conductivity on swelling clay soils using a modified disc permeameter method,problems in swelling clay soil. Failure to reach steady-state.,foley2006,foley2006,foley2006
45,Frey_2012_SSSoAJ,2012,"Frey et al. 2012. Soil Sci. Soc. Am. J., 76:350-360",10.2136/sssaj2011.0194,Spatial and Temporal Influences on Hydraulic Properties in Macroporous Tile-Drained Soil,unknown,frey2012,frey2012,frey2012
