Unnamed: 0,DOI,author,year,title,fname,retrieved
0, 10.1016/s0022-1694(03)00021-0,findeling,2003,modeling the effects of a partial residue mulch on runoff using a physically based approach,findeling2003,True
1, 10.1017/s001447971400009x,ngwira,2014,on-farm evaluation of the effects of the principles and components of conservation agriculture on maize yield and weed biomass in malawi,ngwira2014,True
2,10.1002/(sici)1096-9837(199912)24:13<1243::aid-esp43>3.0.co;2-z,romero-díaz,1999,soil erosion at three experimental sites in the mediterranean,romero-díaz1999,True
3,10.1002/(sici)1099-145x(199606)7:2<87::aid-ldr219>3.0.co;2-x,lal,1996,deforestation and land-use effects on soil degradation and rehabilitation in western nigeria,lal1996,True
4,10.1002/(sici)1099-145x(199709)8:3<221::aid-ldr254>3.0.co;2-p,lal,1997,"soil degradative effects of slope length and tillage method on alfisols in western nigeria ii. soil chemical properties, plant nutrient loss and water quality",lal1997b,True
5,10.1002/(sici)1099-145x(199805/06)9:3<259::aid-ldr290>3.0.co;2-v,lal,1998,soil quality changes under continuous cropping for seventeen seasons of an alfisol in western nigeria,lal1998,True
6,10.1002/(sici)1522-2624(200002)163:1<41::aid-jpln41>3.0.co;2-9,friedel,2000,the effect of farming system on labile fractions of organic matter in calcari-epileptic regosols,friedel2000,True
7,10.1002/1099-145x(200007/08)11:4<363::aid-ldr399>3.0.co;2-r,albaladejo,2000,soil loss and runoff on semiarid land as amended with urban solid  refuse,albaladejo2000,False
8,10.1002/1522-2624(200108)164:4<407::aid-jpln407>3.0.co;2-9,dilly,2001,energetic eco-physiology of the soil microbiota in two landscapes of southern and northern germany,dilly2001,True
9,10.1002/1522-2624(200206)165:3<299::aid-jpln299>3.0.co;2-b,during,2002,tillage effects on the accumulation of polychlorinated biphenyls in biosolid-amended soils,during2002b,True
10,10.1002/9780470743386,borenstein,2009,introduction to meta-analysis,borenstein2009,True
11,10.1002/eco.1600,eldridge,2015,do shrubs reduce the adverse effects of grazing on soil properties?,eldridge2015,True
12,10.1002/ecs2.1270,ryals,2016,grassland compost amendments increase plant  production without changing plant communities,ryals2016,True
13,10.1002/ecs2.1933,gale,2017,comparative responses of early-successional plants to charcoal soil amendments,gale2017,True
14,10.1002/ep.11867,hua,2014,"effect of biochar on carbon dioxide release, organic carbon accumulation, and aggregation of soil",hua2014,True
15,10.1002/esp.1382,boix-fayos,2007,causes and underlying processes of measurement variability in field erosion plots in mediterranean conditions,boix-fayos2007,True
16,10.1002/esp.1893,taguas,2010,rainfall variability and hydrological and erosive response of an olive tree microcatchment under no-tillage with a spontaneous grass cover in spain,taguas2010,True
17,10.1002/esp.3281,nadal-romero,2013,runoff and sediment yield from land under various uses in a mediterranean mountain area: long-term results from an experimental station,nadal-romero2013,True
